,Company,Bullishness out of 5
0,ABB,1
1,ACC,3
2,AUBANK,2
3,ADANIGREEN,1
4,ADANIPORTS,1
5,ATGL,3
6,ADANITRANS,3
7,ABCAPITAL,2
8,ABFRL,1
9,APLLTD,2
10,ALKEM,3
11,AMBUJACEM,1
12,APOLLOHOSP,2
13,ASHOKLEY,2
14,ASIANPAINT,2
15,ASTRAL,2
16,AUROPHARMA,2
17,DMART,1
18,AXISBANK,2
19,BAJAJ-AUTO,1
20,BAJFINANCE,2
21,BAJAJFINSV,1
22,BAJAJHLDNG,1
23,BALKRISIND,2
24,BANDHANBNK,1
25,BANKBARODA,1
26,BANKINDIA,1
27,BATAINDIA,1
28,BERGEPAINT,3
29,BEL,1
30,BHARATFORG,1
31,BHEL,1
32,BHARTIARTL,3
33,BOSCHLTD,1
34,BRITANNIA,2
35,CHOLAFIN,2
36,CIPLA,2
37,CLEAN,2
38,COALINDIA,1
39,COLPAL,1
40,CONCOR,1
41,COROMANDEL,3
42,CUMMINSIND,1
43,DLF,2
44,DALBHARAT,2
45,DEEPAKNTR,2
46,DIVISLAB,3
47,DIXON,1
48,DRREDDY,2
49,EICHERMOT,2
50,ESCORTS,2
51,EXIDEIND,2
52,NYKAA,2
53,FEDERALBNK,1
54,FORTIS,1
55,GAIL,1
56,GLENMARK,1
57,GODREJCP,1
58,GRASIM,2
59,GUJGASLTD,2
60,GSPL,1
61,HCLTECH,2
62,HDFCAMC,2
63,HDFCBANK,3
64,HDFCLIFE,2
65,HAVELLS,1
66,HEROMOTOCO,2
67,HAL,1
68,HINDUNILVR,2
69,HINDZINC,2
70,HONAUT,1
71,HDFC,3
72,ICICIBANK,1
73,ICICIGI,2
74,ICICIPRULI,1
75,ISEC,2
76,IDFCFIRSTB,1
77,ITC,1
78,INDIAMART,1
79,INDIANB,1
80,INDHOTEL,3
81,IGL,1
82,INDUSTOWER,1
83,NAUKRI,2
84,INFY,1
85,INDIGO,1
86,IPCALAB,3
87,JSWSTEEL,2
88,JUBLFOOD,3
89,KOTAKBANK,1
90,L&TFH,2
91,LTTS,1
92,LICHSGFIN,1
93,LTI,1
94,LT,2
95,LUPIN,2
96,MRF,2
97,M&M,2
98,MANAPPURAM,2
99,MARICO,2
100,MARUTI,3
101,MFSL,2
102,MAXHEALTH,1
103,METROPOLIS,1
104,MINDTREE,1
105,MPHASIS,1
106,MUTHOOTFIN,2
107,NTPC,1
108,NAVINFLUOR,1
109,NESTLEIND,2
110,NAM-INDIA,3
111,OBEROIRLTY,1
112,PAYTM,2
113,POLICYBZR,2
114,PIIND,2
115,PAGEIND,1
116,PERSISTENT,2
117,PETRONET,2
118,PIDILITIND,2
119,PEL,1
120,POLYCAB,1
121,POWERGRID,2
122,PRESTIGE,3
123,PGHH,1
124,RELIANCE,1
125,SBILIFE,1
126,SRF,2
127,SHREECEM,2
128,SRTRANSFIN,2
129,SIEMENS,2
130,SONACOMS,2
131,SBIN,2
132,SAIL,1
133,SUNTV,1
134,SYNGENE,3
135,TVSMOTOR,2
136,TATACHEM,1
137,TATACOMM,1
138,TCS,1
139,TATACONSUM,1
140,TATAMOTORS,2
141,TATAPOWER,1
142,TATASTEEL,2
143,RAMCOCEM,2
144,TITAN,2
145,TORNTPHARM,2
146,TORNTPOWER,1
147,TRENT,1
148,UPL,1
149,ULTRACEMCO,2
150,UNIONBANK,1
151,UBL,1
152,MCDOWELL-N,1
153,VBL,1
154,VEDL,1
155,IDEA,1
156,VOLTAS,3
157,WHIRLPOOL,1
158,WIPRO,1
159,ZOMATO,1
